ID,ageCategoryWeight,sex,averageTime,averageRank,weightedAppearance,yearsOfParticipation,yearsSinceLastParticipation
1719,4041,0,9587.5,1321.0,4,1,2
1725,5529,1,11381.666666666666,1330.6666666666667,7,2,1
1728,4038,1,14702.25,2023.25,9,3,4
1741,2553,1,12126.666666666666,1504.0,8,2,1
1759,4038,1,13958.111111111111,1111.7777777777778,20,8,1
1763,4038,1,8546.5,903.5,4,1,1
1772,4038,1,8646.0,992.0,4,1,2
1779,4041,1,5843.0,49.5,1,1,13
1785,5138,1,12214.57142857143,729.8571428571429,18,6,1
1788,5138,0,8627.0,1204.0,3,1,4
1791,630,1,10175.5,1282.5,3,1,6
1792,5138,0,8271.5,823.0,4,1,1
1800,2553,1,10918.833333333334,322.5,15,5,2
1814,4041,0,8092.0,954.0,3,1,4
1820,4041,1,7411.5,477.0,2,1,8
1829,2553,1,10099.666666666666,796.0,6,2,4
1832,2553,1,12512.0,1695.0,7,2,1
1837,5138,1,7903.0,676.0,4,1,1
1840,5773,1,8293.5,1062.5,3,1,5
1843,5773,0,9830.333333333334,611.0,8,2,1
1844,1289,0,11196.5,1696.0,4,1,2
1854,5773,1,8450.5,909.0,4,1,2
1855,5773,0,8643.5,1210.5,3,1,4
1858,4038,0,5299.0,11.5,1,1,12
1862,5529,1,13074.666666666666,1735.0,8,2,1
1865,5529,1,11115.0,1312.5,4,1,1
1867,4041,0,11892.333333333334,1378.6666666666667,8,2,1
1871,5138,0,12611.333333333334,1626.0,8,2,1
1873,5529,1,12956.0,1734.6666666666667,8,2,1
1881,2553,0,9893.5,1195.5,4,1,1
1886,5529,1,6982.0,333.0,4,1,1
1887,5138,0,10715.5,701.5,10,3,1
1894,5529,1,7772.5,591.0,4,1,2
1895,5773,1,6616.5,209.5,4,1,1
1901,5529,0,7878.0,837.0,3,1,4
1902,5138,1,8562.0,910.0,4,1,1
1903,4038,1,13845.545454545454,908.9090909090909,21,10,4
1908,5529,0,8777.0,965.0,4,1,1
1912,5529,0,16834.2,2502.2,14,4,1
1916,5138,0,8976.5,1030.0,4,1,1
1917,5138,1,6237.5,102.5,4,1,1
1918,315,0,9390.0,1096.5,4,1,1
1922,5529,1,6930.5,420.5,3,1,5
1925,5529,1,8973.0,434.0,7,2,1
1930,5773,1,10462.5,569.75,11,3,1
1947,2553,1,9401.0,1101.0,4,1,1
1948,4041,0,12439.333333333334,1377.0,7,2,1
1949,5529,1,6909.5,305.0,4,1,1
1952,200,1,12076.666666666666,1476.6666666666667,8,2,1
1953,4038,1,8060.5,960.0,3,1,5
1954,4038,1,12067.0,1649.6666666666667,7,2,1
1959,5773,1,10248.666666666666,836.0,7,2,2
1960,4038,1,7995.5,717.5,4,1,1
1971,1723,0,7745.5,617.0,4,1,1
1976,5138,1,8038.0,734.0,4,1,1
1977,5773,1,6456.5,185.5,3,1,4
1978,630,1,8443.0,903.5,4,1,2
1987,2553,1,9999.5,1453.5,4,1,2
2001,4038,1,12964.461538461539,600.2307692307693,29,12,1
2012,5773,1,7166.5,409.0,4,1,1
2014,5529,0,8045.0,497.5,1,1,11
2015,5529,0,10224.0,1520.5,4,1,2
2027,5773,0,10305.5,1301.0,3,1,6
2028,4038,1,6835.0,245.0,2,1,10
2031,4038,1,14869.0,1528.6666666666667,24,8,1
2034,2553,1,17411.923076923078,1960.3076923076924,29,12,1
2036,630,1,9476.25,226.0,10,3,1
2043,5773,1,7252.5,381.5,4,1,2
2049,5773,1,8277.0,826.5,4,1,1
2053,4038,1,8599.0,1204.0,3,1,5
2060,5773,1,13332.333333333334,1800.6666666666667,8,2,1
2071,4041,0,10893.0,1293.0,4,1,1
2075,5529,0,8751.333333333334,235.66666666666666,8,2,1
2076,5138,1,6011.0,56.0,4,1,2
2090,5138,1,13887.5,1093.3333333333333,9,5,5
2092,1289,1,9517.333333333334,508.6666666666667,8,2,1
2097,5773,1,10543.0,886.6666666666666,8,2,1
2098,2553,1,13207.0,1297.0,13,4,1
2101,2553,1,8030.5,695.0,4,1,2
2108,2553,1,8603.0,922.0,4,1,1
2112,5138,1,7043.5,361.0,4,1,1
2114,4038,1,7138.0,396.0,4,1,1
2117,2553,1,7170.0,412.5,4,1,1
2124,5773,0,7387.5,427.5,4,1,2
2128,5138,1,6794.0,269.5,4,1,1
2130,5773,1,6119.5,79.5,4,1,1
2132,4041,1,6158.0,88.5,4,1,1
2134,1289,0,9827.0,1561.5,3,1,5
2138,4038,1,10298.666666666666,862.3333333333334,5,2,2
2143,5773,1,6181.5,91.5,4,1,1
2145,5138,0,6963.0,438.0,3,1,5
2147,4041,0,8665.0,999.5,4,1,2
2153,5773,1,7410.0,498.5,4,1,1
2154,5529,0,7750.5,619.0,4,1,1
2158,5529,1,11573.5,1038.25,9,3,4
2160,1289,1,6826.5,277.5,4,1,1
2161,5773,1,10572.5,1270.0,4,1,1
2168,2553,1,10204.0,840.0,6,2,5
2169,5529,1,13902.461538461539,973.3846153846154,29,12,1
2172,4038,1,8097.5,955.5,3,1,4
2174,5138,1,14505.333333333334,1768.5,17,5,1
2176,5773,1,11541.5,1731.5,4,1,2
2182,4041,1,8570.0,955.0,4,1,2
2185,5529,1,8010.0,647.0,3,1,6
2189,4038,1,13827.666666666666,2219.3333333333335,7,2,2
2191,4038,1,11883.4,858.2,13,4,2
2194,2553,0,11970.5,1358.5,4,1,1
2197,1723,1,8701.5,642.0,1,1,11
